Date,AUD_CURNCY,CAD_CURNCY,CHF_CURNCY,EUR_CURNCY,GBP_CURNCY,JPY_CURNCY,NZD_CURNCY,SEK_CURNCY,AUD_CURNCY3M,CAD_CURNCY3M,CHF_CURNCY3M,EUR_CURNCY3M,GBP_CURNCY3M,JPY_CURNCY3M,NZD_CURNCY3M,SEK_CURNCY3M,AUD_IR,CAD_IR,CHF_IR,EUR_IR,GBP_IR,JPY_IR,NZD_IR,SEK_IR,USD_IR
2010-01-05,0.9119,0.9625,0.9674,1.4365,1.5992,0.010905,0.7346,0.141377,0.9032870000000001,0.962497,0.966806,1.4362130000000002,1.598315,0.010461999999999999,0.7298530000000001,0.138314,0.0412,0.44286,0.25167,0.699,0.61188,0.26875,0.028050000000000002,0.48,0.2525
2010-01-06,0.9198,0.9687,0.9732,1.4408,1.6019,0.010832,0.7378,0.140252,0.9110929999999999,0.96871,0.972626,1.440474,1.600962,0.010419,0.732977,0.13719399999999998,0.041299999999999996,0.44286,0.25167,0.694,0.61188,0.26875,0.0278,0.48,0.25
2010-01-07,0.9174,0.9665,0.9669,1.4308,1.5933,0.010713,0.7319,0.14132,0.908525,0.9665050000000001,0.966321,1.430455,1.5923559999999999,0.010277,0.727116,0.138296,0.041217,0.44286,0.25167,0.692,0.61188,0.2675,0.02785,0.48,0.24938
2010-01-08,0.9248,0.9682,0.9769,1.4409,1.6023,0.01079,0.7366,0.142326,0.91594,0.9682329999999999,0.97634,1.440546,1.601358,0.010346999999999999,0.7318600000000001,0.139775,0.041417,0.44286,0.25,0.691,0.6125,0.265,0.02785,0.48,0.25125
2010-01-11,0.9296,0.9676,0.9838,1.4513,1.6115,0.010859,0.7414,0.141703,0.92069,0.967626,0.98324,1.45098,1.61056,0.010418,0.7366389999999999,0.139204,0.041483,0.44143,0.24833,0.689,0.6125,0.265,0.0278,0.48,0.25125
2010-01-12,0.92,0.9626,0.9817,1.4486,1.6164,0.010991,0.7385,0.142436,0.911205,0.962623,0.981145,1.4482840000000001,1.615453,0.010537000000000001,0.733757,0.14036800000000002,0.041833,0.44143,0.25,0.685,0.61,0.26375,0.02795,0.483,0.25125
2010-01-13,0.9242,0.9699,0.9822,1.451,1.628,0.010944,0.7405,0.142665,0.91537,0.969925,0.981652,1.4507,1.6270449999999999,0.010493,0.7357520000000001,0.140921,0.042267,0.44214,0.25,0.684,0.61,0.26375,0.0279,0.483,0.25125
2010-01-14,0.9318,0.9771,0.9816,1.4499,1.6335,0.010965,0.7426,0.14154,0.922743,0.9771299999999999,0.9810490000000001,1.44957,1.632545,0.010554000000000001,0.737844,0.139941,0.042233,0.44286,0.24833,0.682,0.61,0.2625,0.02785,0.48,0.25125
2010-01-15,0.9228,0.9717,0.9753,1.4387,1.6264,0.011015,0.7379,0.14229,0.913825,0.971745,0.9747549999999999,1.4383620000000001,1.625432,0.010596000000000001,0.733209,0.140563,0.042683,0.44286,0.25,0.68,0.61,0.26063,0.0278,0.478,0.25125
2010-01-18,0.9263,0.9746,0.9756,1.4384,1.6343,0.011016,0.7389,0.141655,0.917284,0.9746400000000001,0.975049,1.4380719999999998,1.633305,0.010598999999999999,0.73416,0.13977,0.042217000000000005,0.44286,0.25,0.677,0.61125,0.25938,0.0278,0.478,0.24875
2010-01-19,0.9232,0.9696,0.9683,1.4288,1.6362,0.010972,0.7354,0.138931,0.914209,0.969635,0.967762,1.428455,1.6351250000000002,0.010572000000000002,0.7306990000000001,0.136882,0.041582999999999995,0.44286,0.25,0.675,0.61375,0.25813,0.0278,0.483,0.249
2010-01-20,0.9101,0.9557,0.9578,1.4106,1.6292,0.010959,0.7217,0.137992,0.90123,0.955744,0.957283,1.4102430000000001,1.62815,0.010584,0.717113,0.136012,0.041666999999999996,0.44286,0.25,0.674,0.61563,0.25625,0.02775,0.48,0.24888
2010-01-21,0.8998,0.9502,0.9589,1.4084,1.6195,0.011057,0.7101,0.138115,0.8908,0.9502670000000001,0.95839,1.408018,1.618445,0.010664000000000002,0.705625,0.136341,0.04190000000000001,0.44143,0.25,0.672,0.61688,0.25563,0.02775,0.48,0.24888
2010-01-22,0.9007,0.9463,0.9603,1.4139,1.6113,0.011132,0.7097,0.138309,0.8919299999999999,0.946349,0.959762,1.413565,1.610245,0.010726,0.705195,0.136506,0.042233,0.44071,0.25,0.67,0.61438,0.25438,0.02775,0.48,0.24906
2010-01-25,0.9042,0.9455,0.962,1.4151,1.6245,0.011077,0.7139,0.137414,0.895435,0.945571,0.961461,1.4147830000000001,1.623436,0.010676,0.709365,0.13561,0.042300000000000004,0.44,0.25,0.669,0.61563,0.25375,0.02775,0.48,0.24875
2010-01-27,0.8954,0.9396,0.9523,1.4024,1.6169,0.011113,0.7065,0.136216,0.886555,0.93971,0.951704,1.4020700000000001,1.61585,0.010758,0.70203,0.134742,0.0426,0.44,0.25,0.667,0.61563,0.25375,0.02775,0.48,0.24875
2010-01-28,0.8946,0.9378,0.9504,1.3971,1.6137,0.011121,0.7049,0.135359,0.88577,0.937966,0.949846,1.396765,1.6126429999999998,0.010763,0.700463,0.134302,0.043017,0.44,0.25,0.665,0.61563,0.25313,0.02785,0.48,0.24875
2010-01-29,0.8838,0.9343,0.9429,1.3863,1.5986,0.011078,0.701,0.13777,0.875227,0.93442,0.942333,1.385972,1.59756,0.010712999999999999,0.6965819999999999,0.136744,0.0438,0.44,0.25,0.665,0.61563,0.25313,0.02765,0.478,0.24875
2010-02-01,0.8914,0.9428,0.9467,1.3931,1.5958,0.011036,0.7084,0.138329,0.88286,0.942917,0.9461269999999999,1.392785,1.5947660000000001,0.010672000000000001,0.703974,0.137405,0.042133000000000004,0.44,0.25,0.665,0.61625,0.255,0.02765,0.48,0.24906
2010-02-02,0.8864,0.9461,0.948,1.3964,1.5973,0.011064,0.7122,0.137677,0.878219,0.946218,0.94744,1.3960560000000002,1.596293,0.010705,0.707748,0.13675299999999999,0.042800000000000005,0.44,0.25,0.665,0.61563,0.25375,0.027450000000000002,0.478,0.24906
2010-02-03,0.883,0.9411,0.9438,1.3893,1.5892,0.010992,0.7025,0.134423,0.87485,0.9411900000000001,0.943241,1.3889529999999999,1.588241,0.010617,0.698043,0.13355199999999998,0.04105,0.44,0.25,0.665,0.61563,0.25313,0.02775,0.48,0.25031
